300	0,1	0,1	11,12 ( 10,75 - 11,55 ) 	11,86 ( 11,6 - 12,15 ) 	11,57 ( 11,3 - 11,7 ) 	12,36 ( 12,1 - 12,6 ) 	46,0	51,0	3,0	2,0	69,0	29,0	-0,45	0,29	0,0	0,23	12,67	170,13	0,1	458,95	447,3	300,0	
300	0,5	0,01	42,96 ( 41,9 - 43,95 ) 	43,58 ( 42,85 - 44,25 ) 	39,96 ( 39,4 - 40,35 ) 	42,17 ( 41,55 - 42,8 ) 	0,0	2,0	98,0	0,0	0,0	100,0	3,0	3,62	0,0	1,08	58,22	229,81	0,5	222,45	223,65	300,0	
300	0,5	0,04	43,18 ( 42,35 - 43,9 ) 	43,95 ( 43,05 - 44,7 ) 	40,47 ( 39,85 - 40,95 ) 	43,12 ( 42,75 - 43,5 ) 	0,0	1,0	99,0	0,0	0,0	100,0	2,71	3,48	0,0	1,1	59,87	264,07	0,5	932,6	910,25	300,0	
300	0,5	0,07	44,25 ( 43,15 - 45,45 ) 	44,94 ( 44,15 - 45,7 ) 	41,42 ( 40,95 - 41,85 ) 	44,34 ( 43,9 - 44,75 ) 	0,0	0,0	100,0	0,0	0,0	100,0	2,83	3,52	0,0	1,14	63,39	288,78	0,51	1647,25	1607,45	300,0	
300	0,5	0,1	44,63 ( 43,6 - 45,75 ) 	45,48 ( 44,75 - 46,15 ) 	42,06 ( 41,75 - 42,55 ) 	45,11 ( 44,5 - 45,6 ) 	0,0	3,0	97,0	0,0	0,0	100,0	2,57	3,42	0,0	1,24	69,98	335,62	0,52	2374,7	2319,55	300,0	
300	0,9	0,01	107,81 ( 105,45 - 110,45 ) 	104,66 ( 102,9 - 106,6 ) 	89,15 ( 88,5 - 89,8 ) 	100,47 ( 99,6 - 101,3 ) 	0,0	0,0	100,0	0,0	0,0	100,0	18,66	15,51	0,0	3,09	166,49	94,36	0,9	427,85	405,0	300,0	
300	0,9	0,04	119,08 ( 116,45 - 121,65 ) 	113,88 ( 111,15 - 116,45 ) 	97,77 ( 97,15 - 98,35 ) 	112,33 ( 111,3 - 113,1 ) 	0,0	0,0	100,0	0,0	0,0	100,0	21,31	16,11	0,0	3,09	174,25	118,73	0,93	1755,3	1680,15	300,0	
300	0,9	0,07	134,41 ( 132,05 - 136,55 ) 	129,29 ( 126,7 - 132,0 ) 	113,87 ( 113,45 - 114,4 ) 	129,86 ( 128,65 - 130,85 ) 	0,0	0,0	100,0	0,0	0,0	100,0	20,54	15,42	0,0	3,41	195,03	100,68	0,96	3147,85	3010,75	300,0	
300	0,9	0,1	155,92 ( 155,0 - 156,85 ) 	159,72 ( 158,35 - 161,2 ) 	153,52 ( 153,2 - 154,05 ) 	165,02 ( 163,8 - 166,2 ) 	7,0	17,0	76,0	0,0	0,0	100,0	2,4	6,2	0,0	3,29	195,12	183,36	0,98	4612,4	4420,45	300,0	
400	0,1	0,01	13,41 ( 13,0 - 13,85 ) 	14,07 ( 13,95 - 14,4 ) 	14,0 ( 14,0 - 14,0 ) 	14,96 ( 14,65 - 15,05 ) 	59,0	41,0	0,0	1,0	91,0	8,0	-0,59	0,07	0,0	0,46	21,62	520,36	0,1	78,1	80,8	400,0	
400	0,1	0,04	13,66 ( 13,05 - 14,05 ) 	14,6 ( 14,05 - 15,0 ) 	14,01 ( 14,0 - 14,05 ) 	15,03 ( 14,95 - 15,1 ) 	36,0	63,0	1,0	0,0	41,0	59,0	-0,35	0,59	0,0	0,52	24,29	547,26	0,1	319,7	325,05	400,0	
400	0,1	0,07	13,39 ( 13,0 - 13,8 ) 	14,29 ( 14,0 - 14,85 ) 	14,0 ( 14,0 - 14,0 ) 	14,97 ( 14,75 - 15,05 ) 	61,0	39,0	0,0	0,0	71,0	29,0	-0,61	0,29	0,0	0,51	24,15	545,86	0,1	553,3	559,25	400,0	
